case_id,policy,pod,phase,annotation
4,original,dqn-better-4-original-corehi-1-1,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
4,original,dqn-better-4-original-fatpair-0-0,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,20:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,20:"
4,original,dqn-better-4-original-fatpair-0-1,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,20:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,20:"
4,random,dqn-better-4-random-corehi-1-0,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
4,random,dqn-better-4-random-corehi-1-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
4,random,dqn-better-4-random-fatpair-0-0,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,20:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,20:"
4,random,dqn-better-4-random-fatpair-0-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,20:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,20:"
4,dqn-job,dqn-better-4-dqn-job-corehi-1-0,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
4,dqn-job,dqn-better-4-dqn-job-corehi-1-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
4,dqn-job,dqn-better-4-dqn-job-fatpair-0-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,20:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,20:"
4,dqn-job,dqn-better-4-dqn-job-fatpair-0-1,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,20:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,20:"
5,spread,dqn-better-5-spread-corehi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
5,spread,dqn-better-5-spread-corehi-1-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
